"","b0","b1","b2","R2","NumObservations"
"1",NA,NA,NA,NA,NA
"2",-417851.698303049,104399.040235095,1630303.4438563,0.909872371738873,3
"3",-51028.5040030065,14710.7692287351,230909.639921069,0.682252728929533,4
"4",NA,NA,NA,NA,NA
"5",-306748.130265505,77234.2178499159,1206454.44214987,0.969949296489927,3
"6",NA,NA,NA,NA,NA
"7",-291982.584270387,73624.0418541097,1150125.3607331,0.763400338378818,4
"8",NA,NA,NA,NA,NA
"9",-217608.423194621,55439.5594710849,866395.37364516,0.931964625411702,7
"10",NA,NA,NA,NA,NA
"11",NA,NA,NA,NA,NA
"12",NA,NA,NA,NA,NA
"13",NA,NA,NA,NA,NA
"14",NA,NA,NA,NA,NA
"15",NA,NA,NA,NA,NA
"16",-258266.928589091,65380.5640400328,1021503.50587452,0.96148076000751,8
"17",-298355.001974469,75182.0979827576,1174435.4970324,0.98704802020794,3
"18",-455936.953232375,113710.885065316,1775594.88288619,0.974199255741353,3
"19",NA,NA,NA,NA,NA
"20",NA,NA,NA,NA,NA
"21",-73259.9608578188,20146.3604297367,315720.424676493,0.871643599530836,5
"22",-123624.178127275,32460.4115521186,507854.87713774,0.546440260074745,4
"23",NA,NA,NA,NA,NA
"24",-696506.474983197,172530.133133392,2693343.5514134,0.968703079878683,3
"25",NA,NA,NA,NA,NA
"26",-561457.025580923,139510.542754536,2178143.40688866,0.920851204755528,3
"27",NA,NA,NA,NA,NA
"28",-257495.584012376,65191.970291026,1018560.90344881,0.883625611067412,7
"29",NA,NA,NA,NA,NA
"30",NA,NA,NA,NA,NA
"31",-58259.5343924756,16478.7561589603,258495.297753855,0.730867866007449,4
"32",-447445.665383087,111634.765186165,1743201.46886994,0.975881886522659,3
"33",-191470.034254265,49048.7233751677,766680.033676594,0.570079480514548,6
"34",NA,NA,NA,NA,NA
"35",-1014881.64833323,250372.863017474,3907913.00022643,0.960218014715781,3
"36",NA,NA,NA,NA,NA
"37",-326440.409973518,82048.9802385252,1281578.52000797,0.908264516757503,3
"38",-511899.266737457,127393.670717308,1989085.51267673,0.952791190981578,5
"39",NA,NA,NA,NA,NA
"40",NA,NA,NA,NA,NA
"41",-354487.598677333,88906.5178766078,1388575.74019416,0.968038714350012,4
"42",-203481.269582693,51985.4704129683,812501.695331014,0.854929130427381,3
"43",-207672.864142431,53010.3152828243,828492.209416959,0.958806339304737,6
"44",-352685.317802642,88465.8602027461,1381700.2188853,0.895733835191491,5
"45",NA,NA,NA,NA,NA
