"","b0","b1","b2","R2","NumObservations"
"1",NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA
"3",-52270.0501742045,15014.327267593,235646.014409573,0.677954400232825,3
"4",NA,NA,NA,NA,NA
"5",-306748.130265505,77234.2178499159,1206454.44214987,0.969949296489927,3
"6",NA,NA,NA,NA,NA
"7",-291982.584270387,73624.0418541097,1150125.3607331,0.763400338378818,4
"8",NA,NA,NA,NA,NA
"9",-208949.585823686,53322.4737338913,833362.774958781,0.937773250023135,4
"10",NA,NA,NA,NA,NA
"11",NA,NA,NA,NA,NA
"12",NA,NA,NA,NA,NA
"13",NA,NA,NA,NA,NA
"14",NA,NA,NA,NA,NA
"15",NA,NA,NA,NA,NA
"16",-250255.41776642,63421.7496438896,990940.393237114,0.989389777179253,5
"17",-298355.001974469,75182.0979827576,1174435.4970324,0.98704802020794,3
"18",NA,NA,NA,NA,NA
"19",NA,NA,NA,NA,NA
"20",NA,NA,NA,NA,NA
"21",-62233.330948897,17450.3494170053,273654.934236947,0.983006744840666,3
"22",NA,NA,NA,NA,NA
"23",NA,NA,NA,NA,NA
"24",NA,NA,NA,NA,NA
"25",NA,NA,NA,NA,NA
"26",NA,NA,NA,NA,NA
"27",NA,NA,NA,NA,NA
"28",-241684.929975421,61326.2653789903,958244.839363232,0.910897268718222,4
"29",NA,NA,NA,NA,NA
"30",NA,NA,NA,NA,NA
"31",NA,NA,NA,NA,NA
"32",-447445.665383087,111634.765186165,1743201.46886994,0.975881886522659,3
"33",-140480.56804625,36581.7988873082,572160.31903964,0.64199617840569,3
"34",NA,NA,NA,NA,NA
"35",-1014881.64833323,250372.863017474,3907913.00022643,0.960218014715781,3
"36",NA,NA,NA,NA,NA
"37",-326440.409973518,82048.9802385252,1281578.52000797,0.908264516757503,3
"38",NA,NA,NA,NA,NA
"39",NA,NA,NA,NA,NA
"40",NA,NA,NA,NA,NA
"41",NA,NA,NA,NA,NA
"42",NA,NA,NA,NA,NA
"43",-212361.976246069,54156.8031921638,846380.703181127,0.965047102889426,3
"44",-325223.692274684,81751.4927611602,1276936.86365869,0.957464698588804,4
"45",NA,NA,NA,NA,NA
"46",NA,NA,NA,NA,NA
"47",-244089.417267349,61914.1625218669,967417.717933211,0.989720799031348,3
"48",NA,NA,NA,NA,NA
"49",-289551.642608508,73029.6766177802,1140851.5613872,0.97435280992578,3
"50",NA,NA,NA,NA,NA
"51",-432451.363457061,107968.658365251,1685999.70645234,0.997770732401959,3
"52",NA,NA,NA,NA,NA
"53",-161999.723347041,41843.2323583516,654253.744596628,0.972111028212005,4
"54",NA,NA,NA,NA,NA
"55",-193821.450689392,49623.6446935565,775650.452234963,0.825812892269564,4
"56",NA,NA,NA,NA,NA
"57",NA,NA,NA,NA,NA
"58",NA,NA,NA,NA,NA
"59",NA,NA,NA,NA,NA
