PUBID_1997,Best Attended,Best Admitted,Attended control,New Collegegoer Flag,Old Collegegoer Flag,BestAtt5,BestAd5,BestAtt3,BestAd3,COLLEGEID_YEAR2,CHOICE_YEAR,BestAtt5b,BestAd5b
10,2,2,2,1,1,2,2,1,1,2003,2002,2,2
13,-3,5,-3,0,-3,-3,4,-3,3,-3,2004,-3,5
15,5,5,3,1,1,4,4,3,3,2002,2002,5,5
34,-3,4,-3,0,-3,-3,4,-3,2,-3,2002,-3,4
35,4,2,1,1,1,4,2,2,1,2003,2002,4,2
40,6,3,1,1,1,6,3,3,2,2004,2004,5,3
41,2,2,1,1,1,2,2,1,1,2002,2001,2,2
42,3,3,1,1,1,3,3,2,2,2003,2002,3,3
48,4,4,1,1,1,4,4,2,2,2002,2001,4,4
60,7,4,2,1,1,7,4,7,2,2005,2004,7,4
63,4,4,2,1,1,4,4,2,2,2003,2002,4,4
65,-3,1,-3,0,-3,-3,1,-3,1,-3,2003,-3,1
74,1,1,2,1,1,1,1,1,1,2003,2002,1,1
77,6,6,2,1,1,6,6,3,3,2003,2002,5,5
87,3,3,2,1,1,3,3,2,2,2003,2002,3,3
105,4,4,2,1,1,4,4,2,2,2001,2001,4,4
108,3,1,1,1,1,3,1,2,1,2003,2002,3,1
110,6,3,1,1,1,6,3,3,2,2004,2002,5,3
112,4,3,2,1,1,4,3,2,2,2003,2002,4,3
113,6,6,1,1,1,6,6,3,3,2003,2002,5,5
116,-3,4,-3,0,-3,-3,4,-3,2,-3,2003,-3,4
117,-3,4,-3,0,-3,-3,4,-3,2,-3,2003,-3,4
125,2,2,2,1,1,2,2,1,1,2005,2004,2,2
132,2,2,1,1,1,2,2,1,1,2005,2005,2,2
134,3,3,1,1,1,3,3,2,2,2003,2002,3,3
136,2,2,1,1,1,2,2,1,1,2004,2004,2,2
138,4,2,2,1,1,4,2,2,1,2004,2003,4,2
146,-3,5,-3,0,-3,-3,4,-3,3,-3,2002,-3,5
147,3,3,1,1,1,3,3,2,2,2003,2002,3,3
149,-3,5,-3,0,-3,-3,4,-3,3,-3,2001,-3,5
150,-3,4,-3,0,-3,-3,4,-3,2,-3,2002,-3,4
158,3,1,2,1,1,3,1,2,1,2003,2002,3,1
171,3,3,1,1,1,3,3,2,2,2003,2002,3,3
180,5,2,1,1,1,4,2,3,1,2004,2002,5,2
182,2,1,2,1,1,2,1,1,1,2003,2002,2,1
187,4,4,1,1,1,4,4,2,2,2002,2001,4,4
201,2,1,1,1,1,2,1,1,1,2002,2001,2,1
203,4,4,1,1,1,4,4,2,2,2004,2003,4,4
208,4,2,1,1,1,4,2,2,1,2003,2002,4,2
228,-3,3,-3,0,-3,-3,3,-3,2,-3,2001,-3,3
229,4,1,2,1,1,4,1,2,1,2003,2002,4,1
230,4,2,2,1,1,4,2,2,1,2003,2002,4,2
237,3,3,1,1,1,3,3,2,2,2003,2002,3,3
240,1,1,2,1,1,1,1,1,1,2002,2001,1,1
241,4,2,2,1,1,4,2,2,1,2002,2001,4,2
242,5,4,1,1,1,4,4,3,2,2003,2002,5,4
244,4,4,1,1,1,4,4,2,2,2003,2001,4,4
245,4,2,1,1,1,4,2,2,1,2003,2002,4,2
248,2,1,2,1,1,2,1,1,1,2002,2001,2,1
252,3,3,2,1,1,3,3,2,2,2004,2002,3,3
280,3,2,2,1,1,3,2,2,1,2002,2001,3,2
286,4,2,1,1,1,4,2,2,1,2003,2002,4,2
288,-3,7,-3,0,-3,-3,7,-3,7,-3,2002,-3,7
293,4,3,2,1,1,4,3,2,2,2002,2001,4,3
298,2,2,1,1,1,2,2,1,1,2002,2001,2,2
300,5,4,2,1,1,4,4,3,2,2003,2002,5,4
314,2,2,1,1,1,2,2,1,1,2003,2002,2,2
325,4,4,1,1,1,4,4,2,2,2003,2002,4,4
327,2,2,2,1,1,2,2,1,1,2002,2001,2,2
329,2,2,2,1,1,2,2,1,1,2003,2002,2,2
334,3,2,2,1,1,3,2,2,1,2003,2002,3,2
337,2,2,2,1,1,2,2,1,1,2002,2001,2,2
341,4,4,1,1,1,4,4,2,2,2003,2002,4,4
344,-3,4,-3,0,-3,-3,4,-3,2,-3,2002,-3,4
360,-3,4,-3,0,-3,-3,4,-3,2,-3,2002,-3,4
378,-3,1,-3,0,-3,-3,1,-3,1,-3,2002,-3,1
393,-3,3,-3,0,-3,-3,3,-3,2,-3,2003,-3,3
394,4,4,1,1,1,4,4,2,2,2005,2003,4,4
396,-3,1,-3,0,1,-3,1,-3,1,2003,2002,-3,1
406,2,1,2,1,1,2,1,1,1,2003,2001,2,1
423,-3,5,-3,0,-3,-3,4,-3,3,-3,2002,-3,5
