 PUBID_1997, KEYSEX_1997, CVC_HOURS_WK_YR_ALL_1997_XRND, CVC_HOURS_WK_YR_ALL_1998_XRND, CVC_HOURS_WK_YR_ALL_1999_XRND, CVC_HOURS_WK_YR_ALL_2000_XRND, CVC_HOURS_WK_YR_ALL_2001_XRND, CVC_HOURS_WK_YR_ALL_2002_XRND, CVC_HOURS_WK_YR_ALL_2003_XRND, CVC_HOURS_WK_YR_ALL_2004_XRND, CVC_HOURS_WK_YR_ALL_2005_XRND, CVC_HOURS_WK_YR_ALL_2006_XRND, CVC_HOURS_WK_YR_ALL_2007_XRND, CVC_HOURS_WK_YR_ALL_2008_XRND, CVC_HOURS_WK_YR_ALL_2009_XRND, CVC_HOURS_WK_YR_ALL_2010_XRND
1,2,544,1100,682,1090,3045,-3,1050,2660,3710,3765,1875,1820,1885,1920
2,1,0,0,0,671,2240,1441,1710,1780,2120,1865,2000,4160,2273,3103
3,2,0,0,0,888,1920,2120,2081,2055,-3,-3,-3,-3,-3,0
4,2,246,480,136,2022,1592,623,2194,2048,2003,2040,1785,1631,2270,1890
5,1,0,0,600,80,0,0,0,958,2556,2336,2240,3259,4440,2736
6,2,0,0,60,1100,865,1552,114,1810,2020,1912,1608,1516,505,1932
7,1,0,0,0,0,210,1280,160,0,0,-3,-3,0,579,0
8,2,84,710,448,312,792,610,1300,2235,1900,1810,540,910,3380,520
9,1,0,0,0,0,240,624,600,1400,560,796,1702,1464,1712,2080
10,1,0,0,0,0,0,0,0,0,0,722,2147,2132,1848,-4
11,2,0,232,1073,0,0,0,0,0,0,795,1820,1820,1652,1050
12,1,0,0,773,1330,2100,1640,3770,1770,2160,3040,4822,2804,3336,3675
13,1,0,0,520,155,-3,-3,-3,264,2262,1415,2080,1160,1680,1880
14,1,0,0,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
15,2,0,0,0,0,0,140,0,640,1400,2170,1820,1689,1768,1222
16,1,0,175,0,0,225,0,965,0,0,0,0,780,650,0
17,2,216,96,1128,1726,4348,1333,2250,1650,-4,-4,-4,-4,-4,-4
18,1,420,378,1155,5194,-3,-3,5096,1236,1775,1968,1099,3334,0,0
19,1,0,168,144,0,0,0,0,0,402,1590,0,0,264,1068
20,1,220,440,1140,0,0,0,0,0,0,0,0,0,0,0
21,1,0,260,0,425,1820,400,-3,-3,615,1610,2472,2458,0,0
22,1,0,0,175,0,1760,1040,2420,1890,2416,2496,2496,2496,2496,2496
23,2,0,0,207,929,694,1050,975,735,1855,2125,2275,1996,2028,1872
24,1,0,0,0,0,0,0,300,350,1121,2080,-3,0,0,0
25,2,0,0,56,0,88,0,0,0,0,429,276,0,0,0
26,1,0,0,760,0,0,0,0,0,0,0,0,0,0,0
27,1,0,396,396,725,729,466,1820,620,1825,1530,1780,1820,245,0
28,2,0,0,0,0,0,0,0,369,508,1760,2366,1820,1865,2080
29,2,0,338,380,1415,150,-4,-4,-4,-4,-4,-4,-4,-4,-4
30,1,540,1224,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
31,1,280,416,722,370,0,170,570,1275,2120,2250,2124,2173,2158,2021
32,2,730,818,847,940,676,39,0,600,0,160,2080,2080,2150,1920
