pubid_anon,school_anon,Admit,Attend,b0,KEYSEX_1997,KEYRACE_ETHNICITY_1997,SAT_MATH,SAT_VERBAL,MAJOR2,DAD_ED,MOM_ED,HH_SIZE,HH_INCOME,URBAN_RURAL,SCHOOL_TYPE,AttendedIndicator,FINAIDEST,AIDALLSCHOOL,instate,SATDiff,urbanruralmatch,realtui,tuiin,tuiout,tuiinlist,tuioutlist,sat25,sat75,avgsal,control,carnegie,selectivity,selectivity2,fedgrantp,gradrate,loanp,admitperc,expperstudent,instperstudent,facperstudent,genderratio,division,urbanrural,totstudents,selectdiff,feein,feeout,longitude,latitude,latstudent,longstudent,instspend,totalexp,numfaculty,distance,division2,carnegie2,lifeEarnings
41878,42245,2,4,-384210.1765,2,1,NA,NA,4,12,12,2,42000,1,4,0,0,0,0,NA,1,8840,3120,6240,4420,8320,1348.97,1718.726,50184.59935,1,16,5,5,64,0.327638191,73,0.475068582,22287.98675,4280.718072,0.246586345,0.921296296,1,1,1245,3,520,520,-86.568502,34.783368,41.79,-88.15,21317976,110994174,1228,7.182898294,1,1,1717304.842
74827,42245,3,5,-254244.9324,2,1,NA,NA,3,NA,12,5,48600,0,1,0,0,500,0,1724.726,0,8340,3120,6240,4420,8320,1348.97,1718.726,50184.59935,1,16,5,5,64,0.327638191,73,0.475068582,22287.98675,4280.718072,0.246586345,0.921296296,1,1,1245,2,520,520,-86.568502,34.783368,33.09,-87.64,21317976,110994174,1228,2.00389699,1,1,1213333.74
87396,69558,4,4,-318128.707,1,4,NA,NA,3,15,12,5,56816,1,1,1,0,0,0,NA,1,11244,3840,9600,4662,10422,960,1260,73855.43241,1,15,4,4,36,0.37732342,50,0.859194071,254588.3488,33997.26231,0.524951393,0.580942623,1,1,1543,0,822,822,-86.80917,33.50223,33.5,-86.84,209831103,1571319289,3240,0.030910545,1,1,1461058.249
78634,69558,4,5,-160769.4169,1,1,6,6,3,NA,NA,2,17500,0,1,0,0,5500,0,1248,0,5744,3840,9600,4662,10422,960,1260,73855.43241,1,15,4,4,36,0.37732342,50,0.859194071,254588.3488,33997.26231,0.524951393,0.580942623,1,1,1543,0,822,822,-86.80917,33.50223,32.32,-86.36,209831103,1571319289,3240,1.264682356,1,1,850860.2271
94407,69558,3,-10,-26316.67702,2,4,NA,NA,4,14,18,3,45800,0,1,0,0,3600,0,NA,0,7644,3840,9600,4662,10422,960,1260,73855.43241,1,15,4,4,36,0.37732342,50,0.859194071,254588.3488,33997.26231,0.524951393,0.580942623,1,1,1543,1,822,822,-86.80917,33.50223,30.21,-85.65,209831103,1571319289,3240,3.490337156,1,1,370868.8893
20462,69558,4,4,-167909.0191,2,4,NA,NA,4,20,NA,4,35000,1,1,1,3700,0,0,NA,1,7544,3840,9600,4662,10422,960,1260,73855.43241,1,15,4,4,36,0.37732342,50,0.859194071,254588.3488,33997.26231,0.524951393,0.580942623,1,1,1543,0,822,822,-86.80917,33.50223,33.5,-86.84,209831103,1571319289,3240,0.030910545,1,1,878545.7304
78634,83774,4,5,-160769.4169,1,1,6,6,3,NA,NA,2,17500,0,1,0,0,5500,0,892,0,2516,4008,8016,4008,8016,690,904,49935.80195,1,21,4,4,67,0.226169844,72,0.504187751,17403.93092,4408.568239,0.194608256,0.828967643,1,1,1187,0,0,0,-86.295677,32.364317,32.32,-86.36,20931882,82633864,924,0.078111746,1,2,850860.2271
60138,21728,3,3,-292534.4452,2,4,NA,NA,1,16,12,4,56000,0,1,0,5000,7000,0,NA,0,664,4630,12664,4630,12664,990,1200,68367.11281,1,15,4,4,18,0.608779361,34,0.77103009,30209.44613,9516.768978,0.239091452,0.78358209,2,1,3346,1,0,0,-87.545766,33.2144,33.5,-86.84,127372436,404323227,3200,0.761362599,0,1,1361810.42
74827,21728,3,5,-254244.9324,2,1,NA,NA,3,NA,12,5,48600,0,1,0,0,500,0,1206,0,12164,4630,12664,4630,12664,990,1200,68367.11281,1,15,4,4,18,0.608779361,34,0.77103009,30209.44613,9516.768978,0.239091452,0.78358209,2,1,3346,1,0,0,-87.545766,33.2144,33.09,-87.64,127372436,404323227,3200,0.156062189,0,1,1213333.74
3180,21728,3,4,-312156.1676,2,1,NA,NA,3,NA,14,4,68000,0,1,1,10000,6800,0,NA,0,-4136,4630,12664,4630,12664,990,1200,68367.11281,1,15,4,4,18,0.608779361,34,0.77103009,30209.44613,9516.768978,0.239091452,0.78358209,2,1,3346,1,0,0,-87.545766,33.2144,32.32,-86.36,127372436,404323227,3200,1.48525835,0,1,1437898.309
