,pubid_anon,school_anon,attendedIndicator,tuioutlist,realtui2,finaidest2,distance,instate,urbanruralmatch,loanp,fedgrantp,control,carnegie2,avgsal,division2,gradrate,expperstudent2,instperstudent2,facperstudent2,genderratio2,totstudents2,nonAttendAid,realtuiApply,selectdiffInt,selectInt,fedgrantp.1,finaidwstatedisc,listminusactual,listwfees,realtui2.1,feeout,goodVar,goodVar2,finaidwstatedisc2
1,273,33966,1,30163,30518,0,3.55374374,0,1,35,13,2,1,90299.99878,0,0.929931973,NA,NA,0.15480172,0.850247525,10465,0,30518,0,33,13,0,0,30518,30518,355,-355,-355,0
2,273,63138,0,28940,29396,0,3.272081692,0,1,50,13,2,1,92707.15483,1,0.894213382,NA,NA,0.136164897,0.964417178,3202,0,29396,0,33,13,0,0,29396,29396,456,-456,-456,0
3,273,48321,0,30969,31733,0,3.350346997,0,1,36,12,2,1,83823.98288,0,0.909385113,NA,NA,0.182857143,1.484787018,1225,0,31733,0,33,12,0,0,31733,31733,764,-764,-764,0
4,273,61248,0,12226,13842,0,5.299682428,0,1,62,34,1,1,82138.5568,1,0.595246541,NA,NA,0.116232465,1.020242915,1996,0,13842,52,85,34,0,0,13842,13842,1616,-1616,-1616,0
5,486,98198,0,14500,-8500,14000,25.51045364,0,0,61,32,2,2,41610.55046,0,0.448275862,NA,7745.559426,0.085245902,1.618025751,2440,14000,-8500,0,100,32,23000,23000,14500,-8500,0,23000,23000,23000
6,486,51404,0,10260,1360,0,0.081065126,0,0,88,59,2,4,40384.61538,0,0.217391304,181237.752,48367.23839,0.582106455,0.51457976,1766,0,1360,0,100,59,9000,9000,10360,1360,100,8900,8900,9000
7,663,33518,1,17844,18656,0,0.026876754,0,0,42,18,1,1,83395.34041,0,0.711927424,NA,NA,0.15480172,0.850247525,10465,0,18656,0,75,18,0,0,18656,18656,812,-812,-812,0
8,714,20368,0,11574,12528,0,0.390948534,0,1,53,43,1,1,53648.68321,0,0.376417234,NA,NA,0.07079646,1.487421384,791,0,12528,0,85,43,0,0,12528,12528,954,-954,-954,0
9,1073,75964,0,11146,-32104,0,1.049649068,0,0,69,67,1,2,60458.29545,1,0.483005367,NA,NA,0.159802306,1.521287643,2428,0,-32104,10,85,67,44000,44000,11896,-32104,750,43250,43250,44000
10,1073,74556,0,9998,-33290,0,2.531597759,0,0,71,20,1,2,61607.34805,0,0.486545854,NA,NA,0.0409699,6.836199836,9568,0,-33290,25,100,20,44000,44000,10710,-33290,712,43288,43288,44000
