pubid_anon,school_anon,concatenate,tuioutlist,realtui,finaidest,distance,instate,urbanruralmatch,selectdiff,loanp,fedgrantp,genderratio,totstudents,control,carnegie2,selectivity2,expperstudent,instperstudent,facperstudent,avgsal,division2,gradrate,attendedIndicator,attend,expperstudent2,instperstudent2,facperstudent2,genderratio2,totstudents2,admit,nonAttendAid,attendAid,nonAttendMiss,feein,feeout,tuiinlist,aidallschool,1
273,33966,27333966,30163,30518,0,3.55374374,0,1,0,35,13,0.78128655,1523,2,1,1,111703.2173,31783.15824,0.53906763,90299.99878,0,0.929931973,1,1,NA,NA,0.15480172,0.850247525,10465,1,0,NA,0,355,355,30163,0,
273,63138,27363138,28940,29396,0,3.272081692,0,1,0,50,13,0.894175554,2309,2,1,1,52023.28573,18991.59604,0.286704201,92707.15483,1,0.894213382,0,1,NA,NA,0.136164897,0.964417178,3202,1,0,NA,0,1,456,28940,0,
273,48321,27348321,30969,31733,0,3.350346997,0,1,0,36,12,0.998430141,1273,2,1,1,93781.76453,27927.85821,0.458758837,83823.98288,0,0.909385113,0,1,NA,NA,0.182857143,1.484787018,1225,1,0,NA,0,1,764,30969,0,
273,61248,27361248,12226,13842,0,5.299682428,0,1,3,62,34,1.075767472,3178,1,1,4,57455.4613,17275.77612,0.331025802,82138.5568,1,0.595246541,0,1,NA,NA,0.116232465,1.020242915,1996,1,0,NA,0,1,1616,5966,0,
486,98198,48698198,14500,-8500,14000,25.51045364,0,0,0,61,32,0.697674419,219,3,2,5,25741.35731,8894.873288,0.497716895,41610.55046,0,0.448275862,0,-10,NA,NA,0.085245902,1.618025751,2440,5,14000,8000,14000,5,0,14500,9000,
486,51404,48651404,10260,1360,0,0.081065126,0,0,0,88,59,1,72,3,4,5,16245.33333,5945.40625,0.208333333,40384.61538,0,0.217391304,0,-10,181237.752,48367.23839,0.582106455,0.51457976,1766,5,NA,NA,-3,5,100,10260,9000,
663,33518,66333518,17844,18656,0,0.026876754,0,0,0,42,18,0.823024055,7427,1,1,3,43862.78558,13800.4456,0.282213545,83395.34041,0,0.711927424,1,3,NA,NA,0.15480172,0.850247525,10465,3,0,3200,0,3,812,6999,0,
714,20368,71420368,11574,12528,0,0.390948534,0,1,0,53,43,0.883870968,584,1,1,4,36360.40497,13624.26498,0.474315068,53648.68321,0,0.376417234,0,-10,NA,NA,0.07079646,1.487421384,791,4,NA,NA,-2,4,954,3834,0,
1073,75964,107375964,11146,-32104,0,1.049649068,0,0,1,69,67,1.058461538,669,1,2,4,21973.63602,7516.906577,0.263079223,60458.29545,1,0.483005367,0,3,NA,NA,0.159802306,1.521287643,2428,3,0,NA,0,3,750,5652,44000,
1073,74556,107374556,9998,-33290,0,2.531597759,0,0,2,71,20,0.783738474,2128,1,2,5,16723.89697,5963.425047,0.228853383,61607.34805,0,0.486545854,0,3,NA,NA,0.0409699,6.836199836,9568,3,0,NA,0,3,712,5088,44000,
1073,28062,107328062,22148,-26462,5000,1.103738406,0,0,0,59,20,1,509,2,3,3,26889.04715,9471.840373,0.26719057,60297.81985,0,0.81498829,1,3,167133.0603,72218.86347,0.567901235,0.574614065,2754,3,NA,5000,-3,3,390,22148,44000,
1161,78435,116178435,10576,6096,0,7.621131226,0,1,0,26,40,0.829676071,1751,1,2,5,28684.84209,10284.00971,0.322672758,52809.27965,0,0.301763553,1,5,8117.252663,1353.153645,0.028410278,0.672606569,9574,5,NA,NA,-3,5,0,3520,8000,
1493,95911,149395911,14046,15695,0,2.307123982,0,1,0,43,17,0.667949952,1733,1,2,4,29167.52597,12561.94547,0.356895557,54700.87631,1,0.621571072,0,4,214707.1093,42946.8675,0.106346484,0.538258575,2332,4,0,NA,0,4,1649,5781,0,
1493,18994,149318994,11548,13076,0,1.532528405,0,1,0,46,18,0.62507188,2826,1,1,4,32814.18949,12736.53592,0.292285916,58348.80448,0,0.618248175,0,4,144128.9586,53377.94899,0.24314559,0.967590173,18820,4,0,NA,0,4,1528,6328,0,
1493,19437,149319437,19000,16100,3000,0.346986305,0,1,0,53,32,0.478723404,278,2,2,4,30661.3768,13836.79496,0.35971223,55543.245,0,0.599033816,1,4,223008.3449,43739.34386,0.352450299,1.076975361,12223,4,3000,3000,3000,4,100,19000,0,
1493,55072,149355072,10233,11879,0,2.860314011,0,1,0,54,22,1.014563107,2075,1,2,4,29034.64289,9912.772048,0.295180723,58188.10735,0,0.542595769,0,4,223008.3449,43739.34386,0.352450299,1.076975361,12223,4,0,NA,0,4,1646,5695,0,
1659,82916,165982916,10228,10746,0,0.049278662,0,1,0,45,43,0.787362086,1782,1,1,4,26631.47082,9830.141835,0.304152637,57695.56458,0,0.245337995,1,4,209617.2927,28605.95322,0.26269785,1.118088566,8466,4,0,2000,0,4,518,3184,-3,
1950,54717,195054717,21453,22314,0,13.6664615,0,1,1,31,11,1.055241935,5097,1,1,3,34920.71807,10718.57318,0.217382774,77125.30776,0,0.662444288,0,3,159882.3302,30150.06669,0.18156004,0.97158368,23243,2,0,NA,0,2,861,4341,0,
1950,81761,195081761,28644,28644,0,13.50122057,0,1,0,29,14,0.839622642,585,2,3,2,36704.03846,14987.55342,0.292307692,72369.00877,0,0.84063745,0,3,159882.3302,30150.06669,0.18156004,0.97158368,23243,2,0,NA,0,2,0,28644,0,
1950,96967,195096967,19986,20732,0,13.57140347,0,1,0,70,22,3.737588652,668,1,4,2,37654.22717,13100.77582,0.288922156,79523.87953,0,0.666666667,0,3,9221.064489,3820.332301,0.136299634,1.045506912,3551,2,NA,NA,-2,2,746,7082,0,
1950,71351,195071351,14377,11227,4000,14.12646524,0,1,1,37,16,0.814864865,4029,1,1,3,37448.53462,9396.555225,0.2727724,71661.41197,0,0.638705416,1,3,124091.673,45855.7399,0.295096133,1.250364609,13887,2,NA,4000,-2,2,850,3790,0,
1957,2350,19572350,14576,4126,8000,0.809197459,0,0,0,81,55,0.993630573,313,2,2,4,13444.80192,3622.644569,0.178913738,43212.95536,0,0.537117904,1,4,96064.02696,12828.2144,0.198080333,0.682472742,16357,4,8000,9000,8000,4,550,14576,3000,
1957,28192,195728192,18560,10100,6000,0.043906613,0,0,0,70,76,0.724719101,307,2,2,4,110443.0383,10638.01466,0.412052117,54536.69763,0,0.646428571,0,4,96064.02696,12828.2144,0.198080333,0.682472742,16357,4,6000,16000,6000,4,540,18560,3000,
2021,75386,202175386,14810,14010,0,0.114574552,0,1,0,76,59,1.576576577,286,2,2,4,19728.49738,5879.972028,0.262237762,40498.93667,0,0.455128205,0,-10,96064.02696,12828.2144,0.198080333,0.682472742,16357,4,0,5000,0,4,300,14810,1100,
2029,3493,20293493,9656,7142,0,0.226738387,0,1,0,52,32,0.788434415,1268,1,2,4,27508.77405,12822.95209,0.294952681,75474.22326,0,0.451644101,0,-10,96064.02696,12828.2144,0.198080333,0.682472742,16357,4,0,NA,0,4,2486,7151,5000,
2240,81623,224081623,18590,18381,1000,3.085094292,0,1,1,52,16,0.850689352,6309,1,1,3,34944.32038,10394.76577,0.247582818,79972.43774,0,0.711061618,1,3,108978.2642,58867.58833,0.214439324,0.98687624,13020,2,NA,1000,-3,2,791,6777,0,
2240,4402,22404402,12691,13265,0,7.640371528,0,1,1,35,12,0.873060649,3984,1,1,3,35001.21599,10652.56852,0.251004016,72795.82675,0,0.574364521,0,3,108978.2642,58867.58833,0.214439324,0.98687624,13020,2,0,NA,0,2,574,4737,0,
2240,46518,224046518,16734,16734,0,6.533755939,0,1,2,48,16,0.821600771,3778,1,1,4,26287.18231,9552.86203,0.19507676,68073.23541,1,0.702582369,0,3,15112.80023,9363.238925,0.09199898,0.440945847,23522,2,0,NA,0,2,0,7770,0,
2297,63851,229763851,30402,-9184,0,8.97350169,0,1,1,55,13,0.685531915,3961,2,1,2,71204.5645,36224.7127,0.354708407,83083.25765,0,0.74826845,0,2,15112.80023,9363.238925,0.09199898,0.440945847,23522,1,NA,NA,-2,1,414,30402,40000,
2297,86494,229786494,26732,-36256,24000,4.579327078,0,1,1,57,18,0.771220159,2671,2,1,2,50059.02387,19549.84322,0.329090228,76045.85296,1,0.791114575,1,2,69598.29393,21413.8563,0.298715437,1.249816312,9186,1,24000,18000,24000,1,1012,26732,40000,
2297,72835,229772835,16180,-22743,0,4.723491256,0,1,2,42,18,1.351140456,3917,1,1,3,53979.82289,15203.10467,0.418177176,77517.42918,1,0.663556385,0,2,86917.82485,21335.20443,0.173795709,0.86056437,37055,1,0,NA,0,1,1077,4282,40000,
2297,70848,229770848,20200,-19100,0,0.134539968,0,1,1,61,24,0.88961039,2910,1,1,2,104319.3459,30981.26942,0.531958763,80956.21302,1,0.67377261,0,2,86917.82485,21335.20443,0.173795709,0.86056437,37055,1,0,NA,0,1,700,10830,40000,
2489,86663,248986663,12919,13010,0,0.081583273,0,1,0,29,19,0.866432812,6917,1,1,4,30226.72401,9788.961978,0.236663293,77379.90623,1,0.545760572,0,4,60049.79603,7613.518076,0.163454776,1.21395204,28436,4,0,NA,0,4,91,4064,0,
2489,12425,248912425,12953,13043,0,1.834254731,0,1,0,44,24,0.738931298,2278,1,1,4,30644.86721,10436.82331,0.31167691,57534.13944,0,0.501688374,1,4,120442.5822,28772.06968,0.267535692,1.057471264,6444,4,NA,NA,-3,4,90,4073,0,
3162,44371,316244371,30167,25334,0,11.9997677,1,1,0,44,15,1.042809365,3054,2,1,1,109141.8053,31525.84127,0.577275704,98776.08466,1,0.924448768,0,4,71390.38161,14092.4767,0.201754983,0.813259328,29402,1,NA,NA,-2,1,167,30167,5000,
3162,98462,316298462,17710,13230,0,3.449142272,0,1,2,62,37,1.192982456,250,2,2,3,30883.279,8869.929,0.38,47624.88421,0,0.597359736,0,4,71390.38161,14092.4767,0.201754983,0.813259328,29402,1,0,NA,0,1,520,17710,5000,
3162,43733,316243733,13204,-4064,13000,3.462315176,0,1,3,44,38,0.642078793,1959,1,1,4,37472.3535,11624.19717,0.430832057,60672.50385,1,0.356804734,1,4,96024.57021,15235.32577,0.275729548,1.064586088,39031,1,NA,13000,-2,1,732,4480,5000,
3162,51320,316251320,24274,3584,16000,3.447180821,0,1,1,46,13,0.764925373,473,2,3,2,25583.97463,10345.36416,0.312896406,57459.14865,1,0.825065274,0,4,96024.57021,15235.32577,0.275729548,1.064586088,39031,1,16000,NA,16000,1,310,24274,5000,
3180,21728,318021728,12664,-4136,10000,1.48525835,0,0,1,34,18,0.78358209,3346,1,1,4,30209.44613,9516.768978,0.239091452,68367.11281,0,0.608779361,1,4,96024.57021,15235.32577,0.275729548,1.064586088,39031,3,10000,5000,10000,3,0,4630,6800,
3180,62916,318062916,14048,7466,0,0.911716372,0,0,0,32,11,0.931707317,3564,1,1,3,38782.6896,11485.87107,0.330246914,75212.01466,0,0.64969896,0,4,96024.57021,15235.32577,0.275729548,1.064586088,39031,3,0,NA,0,3,218,4828,6800,
3531,98352,353198352,10388,2638,5000,0.808647725,0,0,0,85,80,1.277310924,542,2,3,5,12563.7214,3866.441421,0.164206642,46608.95225,0,0.371237458,0,-10,82663.3213,19190.17742,0.239054808,0.801892371,15235,5,5000,12000,5000,5,2250,10388,5000,
3597,53434,359753434,10610,10610,0,9.057914892,0,1,1,83,68,0.680894309,827,2,3,5,14588.79383,4095.13029,0.181378476,46262.82167,0,0.385232745,0,4,54667.65172,8225.822234,0.143573219,0.918433931,22344,4,0,NA,0,4,0,10610,0,
3597,21042,359721042,12486,13650,0,2.12575781,0,1,1,83,67,0.509572901,1025,1,2,5,29801.36293,9387.563415,0.234146341,61762.09479,0,0.505200594,0,4,20291.38484,6650.682021,0.249628529,0.515765766,673,4,0,NA,0,4,1164,3042,0,
3597,22158,359722158,11794,13575,0,1.310160592,0,1,0,48,26,0.820853081,1921,1,1,4,26584.7254,11249.13964,0.314940135,64818.81983,0,0.459320948,1,4,47946.90881,19039.39125,0.188445232,1.06750834,31606,4,0,NA,0,4,1679,4248,0,
3597,47709,359747709,17470,18868,0,0.017994182,0,1,0,54,29,0.675703325,3276,1,1,4,39532.64049,14904.28724,0.254578755,70905.58483,0,0.407753386,0,4,99844.77561,35571.40162,0.338613164,1.155538695,5682,4,0,NA,0,4,1358,5260,0,
