PUBID_1997,COLLEGEID_ROSTERNUM2
3,-3
10,_01
13,-3
15,_02
23,-3
34,-3
35,_01
40,_02
41,_01
42,_01
48,_01
52,-3
53,-3
58,_01
60,_01
61,-3
63,_01
65,-3
73,-3
74,_01
77,_01
81,-3
87,_01
93,-3
105,_02
108,_01
110,_01
112,_01
113,_01
116,-3
117,-3
122,-3
125,_01
132,_01
134,_01
136,_01
138,_01
145,-3
146,-3
147,_01
149,-3
150,-3
158,_01
170,-3
171,_01
180,_01
182,_01
184,-3
187,_01
195,-3
201,_01
203,_01
205,-3
208,_01
209,-3
220,_02
221,_01
228,-3
229,_01
230,_01
232,_01
234,-3
236,-3
237,_01
240,_01
241,_01
242,_01
243,-3
244,_01
245,_01
248,_01
252,_01
261,-3
270,-3
280,_01
281,-3
283,-3
286,_01
288,-3
289,-3
292,-3
293,_01
295,-3
298,_01
300,_01
304,-3
305,_01
314,_01
325,_01
327,_01
329,_01
334,_01
337,_01
341,_01
344,-3
349,-3
358,-3
359,_01
360,-3
363,-3
364,_02
373,-3
378,-3
380,_02
390,-3
393,-3
394,_01
395,_01
396,_01
401,-3
403,-3
406,_02
417,-3
419,_01
423,-3
424,_01
430,_02
431,_01
433,_02
438,-3
447,-3
448,-3
455,-3
456,_01
459,_01
465,-3
466,-3
467,-3
472,_01
474,-3
478,_01
482,-3
487,-3
492,_02
496,_02
505,-3
507,_01
509,-3
533,_01
542,_01
543,-3
547,_01
548,_01
550,_01
555,_01
559,_01
561,_01
562,_02
564,-3
572,-3
580,-3
582,-3
585,_01
587,-3
600,_01
608,-3
611,_01
612,_01
613,-3
616,_01
617,-3
629,-3
632,_01
633,_01
638,_01
647,-3
650,_02
664,-3
668,_01
669,_01
674,_01
676,_01
677,-3
681,-3
683,_01
684,-3
685,_01
689,-3
693,-3
711,-3
713,-3
714,-3
715,_01
722,_02
727,_01
728,-3
730,-3
734,_04
736,_02
740,_01
748,_01
749,_01
751,-3
756,_01
759,_01
765,-3
768,-3
772,_01
776,-3
778,_01
780,-3
783,_01
785,_01
790,-3
793,-3
796,_01
798,_01
801,_01
820,-3
823,-3
827,_01
828,_01
831,_01
832,_01
840,_01
842,_01
844,_01
851,_02
853,_01
858,-3
861,_01
865,_01
868,-3
870,-3
873,_01
874,-3
878,_01
883,_02
887,-3
889,-3
892,-3
895,-3
897,-3
901,-3
905,-3
909,-3
911,_01
914,_02
916,_01
917,_01
919,_01
921,-3
928,-3
929,_01
930,-3
931,_01
932,_01
934,_01
935,_01
936,_01
938,-3
943,_01
948,_02
950,_01
952,_01
953,-3
955,_01
956,_01
957,_01
959,_02
961,_01
963,_01
965,_01
966,_01
969,_01
970,_01
971,_01
983,_01
988,_01
989,_01
992,-3
1002,-3
1004,-3
1007,_01
1010,-3
1013,_02
1019,_01
1021,_01
1023,_01
1036,-3
1044,-3
1048,-3
1052,-3
1059,_01
1060,_01
1061,-3
1066,-3
1074,_01
1075,_01
1077,_01
1078,_01
1081,_01
1086,_01
1088,-3
1108,_01
1109,_01
1114,_01
1116,_01
1117,_01
1119,_01
1121,_01
1123,_01
1125,-3
1128,-3
1129,-3
1130,-3
1134,-3
1135,_01
1140,_01
1141,-3
1146,_01
1149,_01
1151,_01
1154,_01
1163,_01
1165,_01
1169,_01
1171,_01
1173,_01
1174,_01
1176,_02
1185,-3
1187,_01
1188,_01
1194,_01
1206,-3
1227,_01
1229,-3
1230,-3
1232,_01
1233,_01
1234,_01
1235,_01
1237,_01
1238,-3
1239,_01
1243,_01
1248,_01
1253,_01
1260,-3
1262,-3
1264,-3
1266,-3
1281,_01
1283,-3
1286,_01
1288,_01
1294,-3
1296,_01
1300,_01
1301,_01
1303,_03
1307,_01
1308,_01
1313,_01
1316,-3
1318,_01
1319,-3
1323,_01
1331,_01
1336,_01
1341,_01
1346,-3
1347,_01
1349,-3
1353,-3
1358,-3
1367,_01
1370,_01
1373,_01
1377,-3
1379,-3
1395,-3
1401,-3
1402,_01
1404,_03
1406,_01
1407,-3
1413,_01
1418,-3
1421,_01
1423,_01
1433,_01
1443,-3
1446,_01
1447,_01
1452,-3
1455,_01
1457,_01
1459,_01
1460,_01
1462,_01
1464,_01
1473,_01
1475,-3
1478,_01
1481,-3
1483,_01
1485,_01
1486,_01
1493,_01
1498,_01
1504,-3
1506,_01
1508,-3
1513,-3
1517,_01
1518,_01
1519,_01
1523,-3
1531,_01
1540,-3
1541,-3
1542,-3
1544,_01
1546,_01
1548,-3
1549,_01
1552,-3
1554,_01
1556,-3
1557,_01
1563,-3
1564,-3
1565,_01
1574,_01
1585,-3
1586,_01
1590,_01
1593,-3
1602,-3
1617,_01
1620,_01
1622,-3
1623,_01
1624,_01
1632,_01
1634,_01
1639,_01
1642,_01
1653,-3
1656,_01
1667,-3
1672,_01
1678,_01
1688,-3
1693,-3
1695,_01
1697,_03
1701,_01
1712,-3
1713,_01
1745,-3
1752,_01
