 PUBID_1997, GEO03_2008, GEO03_2009, GEO03_2010
1,1,1,1
2,1,1,1
3,-5,6,-5
4,1,1,1
5,1,1,1
6,1,1,1
7,-5,34,34
8,-5,1,-5
9,1,1,1
10,1,1,-5
11,1,1,1
12,1,1,1
13,1,1,1
14,-5,-5,-5
15,-5,1,1
16,1,1,1
17,-5,-5,-5
18,1,1,1
19,-5,1,1
20,-5,-5,1
21,1,1,1
22,-5,-5,1
23,1,1,1
24,1,1,1
25,1,1,1
26,1,1,1
27,1,1,1
28,1,1,1
29,-5,-5,-5
30,-5,-5,-5
31,1,1,1
32,1,1,1
33,1,1,1
34,1,1,1
35,1,1,1
36,2,2,2
37,1,1,1
38,1,1,1
39,1,1,-5
40,-5,-5,-5
41,1,1,1
42,1,1,1
43,1,1,1
44,1,1,1
45,1,1,1
46,3,-5,-5
47,4,4,4
48,1,1,1
49,1,1,1
50,5,5,5
51,1,1,1
52,1,1,1
53,1,1,1
54,1,1,1
55,6,6,6
56,1,1,1
57,1,1,1
58,1,1,1
59,1,1,1
60,1,1,1
61,1,1,1
62,7,7,7
63,8,8,427
64,1,1,-5
65,9,9,9
66,1,1,-5
67,1,1,1
68,1,1,1
69,10,10,10
70,1,1,1
71,1,1,1
72,-5,-5,-5
73,-5,-5,-5
74,1,1,1
75,1,1,1
76,1,1,1
77,1,-5,-5
78,1,1,1
79,1,1,34
80,1,1,1
81,1,1,1
82,1,1,1
83,1,1,1
84,11,238,238
85,1,1,1
86,1,1,1
87,1,1,-5
88,-5,-5,-5
89,1,1,1
90,1,1,1
91,1,1,1
92,1,1,1
93,12,12,12
94,1,1,1
95,-5,-5,-5
96,13,-5,-5
97,1,1,1
98,-5,1,323
99,-5,-5,-5
100,1,1,1
101,1,1,1
102,-5,-5,-5
103,-5,-5,-5
104,1,1,1
105,1,1,1
106,1,-5,-5
107,2,2,-4
108,14,209,209
109,1,1,1
110,1,1,1
111,1,1,1
112,-5,-5,-5
113,1,1,1
114,1,1,1
115,1,-5,-5
116,15,15,15
117,15,15,15
118,15,-5,-5
119,-5,15,-5
120,-5,-5,-5
121,15,-5,-5
122,15,15,15
123,-5,-5,-5
124,-5,-5,-5
125,-5,-5,-5
126,16,15,15
127,1,1,1
128,1,1,1
129,-5,-5,-5
130,1,-5,-5
131,-5,-5,-5
132,1,1,1
133,1,1,1
134,-5,-5,-5
135,1,1,1
136,1,-5,-5
137,17,17,17
138,18,18,18
139,-5,-5,-5
140,1,-5,-5
141,-5,-5,-5
142,-5,1,1
143,19,19,45
144,1,1,1
145,1,1,1
146,1,1,1
147,1,1,1
148,1,1,1
149,1,1,1
150,1,1,1
151,1,1,1
152,1,1,1
153,1,1,1
154,-5,-5,-5
155,1,1,1
156,1,1,1
157,1,1,1
158,1,1,1
159,1,1,1
160,1,1,1
161,-5,1,1
162,1,1,1
163,-5,-5,24
164,1,1,1
165,1,16,16
166,1,1,1
167,20,20,20
168,1,1,1
169,21,21,21
170,22,22,22
171,23,23,1
172,-5,-5,-5
173,-5,-5,-5
174,-5,-5,-5
175,24,-5,-5
176,1,1,1
177,1,1,30
178,-5,24,24
179,-5,-5,-5
180,-5,24,24
181,25,25,1
182,1,11,11
183,1,1,1
184,1,-5,-5
185,1,1,1
186,-5,-5,-5
187,26,223,223
188,-5,-5,-5
189,-5,-5,-5
190,1,1,1
191,1,31,262
192,1,1,96
193,1,1,1
194,1,1,1
195,1,1,1
196,-5,-5,-5
197,-5,-5,-5
198,1,1,1
199,27,27,-4
200,1,1,1
201,1,1,1
202,1,1,1
203,1,1,1
204,28,28,28
205,8,-5,-5
206,-5,1,1
207,-5,-5,-5
208,-5,-5,-5
209,-5,-5,-5
210,-5,-5,-5
211,1,1,1
212,29,29,29
213,29,29,29
214,1,1,1
215,7,7,7
216,1,1,1
217,1,-5,-5
218,-5,-5,-5
219,1,1,1
220,-5,-5,-5
221,1,1,1
222,1,1,1
223,1,1,1
224,1,1,1
225,30,30,30
226,-5,1,1
227,-4,-4,-4
228,1,1,1
229,24,24,24
230,1,1,1
231,1,1,1
232,1,1,1
233,1,1,1
234,1,1,1
235,1,1,1
236,1,1,1
