pubid_anon,school_anon,concatenate,selectivity2,attendedIndicator,attend,admit,income22,income23,income24,income25,income22b,income23b,income24b,income25b
273,33966,27333966,1,1,1,1,30000,47000,50000,-3,30000,47000,50000,-3
273,63138,27363138,1,0,1,1,30000,47000,50000,-3,30000,47000,50000,-3
273,48321,27348321,1,0,1,1,30000,47000,50000,-3,30000,47000,50000,-3
273,61248,27361248,4,0,1,1,30000,47000,50000,-3,30000,47000,50000,-3
486,98198,48698198,5,0,-10,5,10000,-3,-3,-3,10000,-3,-3,-3
486,51404,48651404,5,0,-10,5,10000,-3,-3,-3,10000,-3,-3,-3
663,33518,66333518,3,1,3,3,30100,31000,-3,-3,30100,31000,-3,-3
714,20368,71420368,4,0,-10,4,-3,60000,68000,68000,-3,60000,68000,68000
1073,75964,107375964,4,0,3,3,-3,26000,35000,-3,-3,26000,35000,-3
1073,74556,107374556,5,0,3,3,-3,26000,35000,-3,-3,26000,35000,-3
1073,28062,107328062,3,1,3,3,-3,26000,35000,-3,-3,26000,35000,-3
1161,78435,116178435,5,1,5,5,17000,18500,18000,-3,17000,18500,18000,-3
1493,95911,149395911,4,0,4,4,17501,23000,36000,40000,17501,23000,36000,40000
1493,18994,149318994,4,0,4,4,17501,23000,36000,40000,17501,23000,36000,40000
1493,19437,149319437,4,1,4,4,17501,23000,36000,40000,17501,23000,36000,40000
1493,55072,149355072,4,0,4,4,17501,23000,36000,40000,17501,23000,36000,40000
1659,82916,165982916,4,1,4,4,15000,17501,-3,-3,15000,17501,-3,-3
1950,54717,195054717,3,0,3,2,24500,25000,27000,28000,24500,25000,27000,28000
1950,81761,195081761,2,0,3,2,24500,25000,27000,28000,24500,25000,27000,28000
1950,96967,195096967,2,0,3,2,24500,25000,27000,28000,24500,25000,27000,28000
1950,71351,195071351,3,1,3,2,24500,25000,27000,28000,24500,25000,27000,28000
1957,2350,19572350,4,1,4,4,20000,25000,25000,-3,20000,25000,25000,-3
1957,28192,195728192,4,0,4,4,20000,25000,25000,-3,20000,25000,25000,-3
2021,75386,202175386,4,0,-10,4,-3,-3,-3,34000,-3,-3,-3,34000
2029,3493,20293493,4,0,-10,4,13000,14000,-3,-3,13000,14000,-3,4
2240,81623,224081623,3,1,3,2,40000,50000,53000,-3,40000,50000,53000,-3
2240,4402,22404402,3,0,3,2,40000,50000,53000,-3,40000,50000,53000,-3
2240,46518,224046518,4,0,3,2,40000,50000,53000,-3,40000,50000,53000,-3
2297,63851,229763851,2,0,2,1,30000,30000,30000,-3,30000,30000,30000,-3
2297,86494,229786494,2,1,2,1,30000,30000,30000,-3,30000,30000,30000,-3
2297,72835,229772835,3,0,2,1,30000,30000,30000,-3,30000,30000,30000,-3
2297,70848,229770848,2,0,2,1,30000,30000,30000,-3,30000,30000,30000,-3
2489,86663,248986663,4,0,4,4,40000,45000,49000,30000,40000,45000,49000,30000
2489,12425,248912425,4,1,4,4,40000,45000,49000,30000,40000,45000,49000,30000
3162,44371,316244371,1,0,4,1,36221,39000,40000,30429,36221,39000,40000,30429
3162,98462,316298462,3,0,4,1,36221,39000,40000,30429,36221,39000,40000,30429
3162,43733,316243733,4,1,4,1,36221,39000,40000,30429,36221,39000,40000,30429
3162,51320,316251320,2,0,4,1,36221,39000,40000,30429,36221,39000,40000,30429
3180,21728,318021728,4,1,4,3,37000,38000,38000,-3,37000,38000,38000,-3
3180,62916,318062916,3,0,4,3,37000,38000,38000,-3,37000,38000,38000,-3
3531,98352,353198352,5,0,-10,5,39000,33000,30000,-3,39000,33000,30000,-3
3597,53434,359753434,5,0,4,4,27000,40000,39000,40000,27000,40000,39000,40000
3597,21042,359721042,5,0,4,4,27000,40000,39000,40000,27000,40000,39000,40000
3597,22158,359722158,4,1,4,4,27000,40000,39000,40000,27000,40000,39000,40000
3597,47709,359747709,4,0,4,4,27000,40000,39000,40000,27000,40000,39000,40000
3674,8135,36748135,5,0,3,3,34000,28000,12000,-3,34000,28000,12000,-3
