PUBID_1997,stillInCollege
10,0
13,0
15,0
34,0
35,0
40,0
41,0
42,0
48,0
60,0
63,0
65,0
74,0
77,0
87,0
105,0
108,0
110,0
112,0
113,0
116,0
117,0
125,0
132,0
134,0
136,0
138,0
146,0
147,0
149,0
150,1
158,0
171,0
180,0
182,0
187,0
201,0
203,0
208,0
228,-3
229,0
230,0
237,0
240,0
241,0
242,0
244,0
245,0
248,0
252,0
280,0
286,0
288,0
293,0
298,0
300,0
314,0
325,0
327,0
329,0
334,0
337,0
341,0
344,0
360,0
378,0
393,0
394,0
396,0
406,0
423,0
424,0
430,0
431,0
456,0
459,0
472,0
478,0
487,1
492,0
496,0
507,0
509,0
533,0
542,0
547,0
550,0
555,0
559,1
561,0
585,0
612,0
616,0
629,0
632,0
633,0
638,0
647,0
650,0
664,0
668,0
669,0
674,0
676,0
681,0
683,0
685,0
715,0
722,1
727,0
728,0
736,0
740,0
748,0
749,1
756,0
759,0
768,1
772,0
777,0
778,0
780,0
783,1
785,0
796,0
798,0
801,0
823,0
827,-3
828,0
831,0
832,0
840,0
842,0
844,0
861,0
865,0
878,0
897,0
901,0
911,-3
914,0
916,-3
917,0
919,0
921,0
928,0
929,0
931,0
932,0
934,0
935,0
936,0
943,0
948,0
950,0
952,0
955,0
956,0
959,0
961,0
963,0
965,0
969,0
970,0
971,0
983,0
989,0
1007,0
1013,-3
1019,0
1021,0
1023,0
1059,0
1060,0
1061,0
1066,0
1074,0
1075,0
1077,0
1078,0
1081,0
1086,0
1108,0
1109,0
1116,0
1117,0
1119,0
1121,0
1135,0
1140,0
1146,0
1149,0
1151,0
1154,0
1163,0
1165,0
1169,0
1171,0
1173,0
1174,0
1176,0
1185,0
1187,0
1188,0
1194,0
1227,0
1232,0
1233,0
1234,0
1235,0
1237,0
1239,0
1243,0
1248,0
1253,0
1281,0
1286,0
1288,0
1294,0
1296,0
1300,0
1301,0
1303,0
1307,0
1308,0
1313,0
1316,0
1331,0
1336,0
1341,0
1347,-3
1358,0
1367,0
1370,0
1373,0
1377,0
1402,0
1406,0
1407,0
1421,0
1423,0
1433,0
1446,0
1447,0
1452,-3
1455,0
1457,0
1459,0
1460,0
1462,0
1464,0
1473,0
1475,0
1478,0
1483,0
1485,0
1486,0
1493,0
1498,0
1504,0
1506,0
1513,0
1517,0
1518,0
1519,0
1523,0
1531,0
1541,0
1542,0
1544,0
1546,0
1549,0
1554,0
1556,-3
1557,0
1565,0
1574,0
1586,0
1590,0
1617,0
1620,0
1622,0
1623,0
1624,0
1632,0
1634,0
1639,0
1642,0
1653,0
1656,0
1672,0
1678,0
1688,0
1693,0
1695,0
1697,0
1713,0
1752,0
1757,0
1765,0
1773,0
1781,0
1784,0
1797,0
1799,0
1802,0
1804,1
1806,0
1808,0
1810,0
1811,0
1812,0
1817,0
1825,0
1829,0
1831,0
1832,0
1833,0
1841,0
1842,0
1844,0
1857,0
1862,0
1875,0
1883,0
1885,0
1887,0
1888,0
1898,0
1902,0
1904,0
1919,0
1962,1
1969,0
1984,1
1991,0
1998,0
2025,1
2028,0
2033,0
2039,0
2043,0
2045,0
2055,-3
2056,0
2058,0
2060,0
2062,0
2065,0
2068,0
2069,0
2071,0
2072,0
2077,0
2078,0
2081,0
2086,0
2087,0
2090,0
2104,0
2109,0
2113,0
2125,0
2129,0
2130,0
2146,0
2149,0
2165,0
2167,0
2169,0
2170,0
2171,0
2177,0
2183,0
2190,0
2195,0
2200,0
2203,0
2206,0
2211,0
2213,0
2215,0
2226,0
2231,0
2233,0
2237,0
2245,0
2248,0
2258,0
2276,0
2280,0
2290,0
2298,0
2299,0
2307,0
2308,0
2309,0
2330,0
2332,0
2335,0
2336,-3
2338,0
2344,0
2347,0
2348,0
2362,0
2364,0
2375,0
2377,1
2379,0
2385,0
2395,0
2420,0
2435,0
2437,0
2458,0
2463,0
2466,0
2467,0
2472,0
2476,0
2477,0
2497,-3
2504,0
2510,0
2521,0
2523,0
2525,0
2541,0
2544,0
2548,0
2557,0
2563,0
2564,0
2566,0
2573,0
2576,0
2581,0
2584,0
2593,0
2594,0
2597,0
2614,0
2617,0
2618,0
2621,-3
2633,0
2636,0
2640,0
2654,0
2655,0
2665,0
2667,0
2670,0
2673,0
2676,0
2682,0
2683,0
2700,0
2710,0
2711,0
2714,0
2716,0
2728,0
2732,0
2734,0
2736,0
2748,0
2751,0
2755,0
2756,0
2757,0
2764,0
2776,0
2778,0
2780,0
2792,0
2793,0
2796,0
2801,0
2807,1
2818,0
2820,0
2833,0
2834,0
2840,0
2841,0
2844,0
2870,0
2877,0
2883,0
2884,0
2886,0
2888,0
2898,0
2902,0
2905,0
2906,0
2908,-3
2937,0
2939,0
2941,0
2943,0
2944,0
2946,0
2952,0
2976,0
2987,0
2989,0
2993,0
2995,0
3005,0
3007,0
3016,0
3017,0
3022,0
3024,0
3025,0
3041,0
3045,1
3051,0
3064,1
3068,0
3072,-3
3074,0
3077,1
3080,0
3085,0
3087,0
3091,0
3096,-3
3113,0
3135,0
3141,0
3144,0
3151,0
3162,0
3168,0
3171,0
3183,0
3187,0
3193,0
3194,0
3198,0
3210,0
3211,0
3212,0
3218,0
3232,0
3236,0
3239,0
3251,0
3272,-3
3279,0
3281,0
3282,0
3284,0
3285,0
3288,0
3290,0
3305,0
3318,1
3368,0
3377,0
3378,0
3380,0
3388,0
3391,0
3395,0
3398,0
